,Airport,LEX,MDT,CYS,BDL,HHH,CRW,SWF,PIB,BUF,OTH,FNT,SYR,MLB,BGR,LFT,ABI,ONT,CDC,DRT,ART,DEN,SEA,LAN,CKB,AMA,JAN,YKM,CLE,AZO,MQT,KTN,STS,OAJ,BTV,STL,ADQ,DBQ,PSG,SUX,MIA,PUW,PWM,PIE,EGE,SBA,MYR,BFF,SAF,ICT,USA,RDU,GRK,ITO,MSY,SCE,UIN,TUS,GCK,AEX,MCI,DUT,TPA,COS,VLD,MBS,LRD,BGM,TRI,JHM,GPT,PHX,EWN,PPG,PVD,RAP,ILM,SJT,TVC,PIA,TUL,STT,ATW,COD,PBI,GTR,PGD,LBE,FWA,ORD,RFD,CMH,LAS,HLN,SCC,OMA,MFE,GJT,MGM,EYW,LBB,HRL,FLL,FLO,LIH,IDA,CPR,GRB,ALB,CMX,DSM,BQN,EAT,HGR,RST,SAV,HOU,PAH,CLT,EAR,CID,OGD,FAR,SBP,BNA,BTR,SHD,BZN,LYH,ROW,HSV,BJI,BMI,CHA,BIL,TWF,PIT,LNK,EUG,ABR,SAT,IPT,SPS,BUR,RSW,CAE,SHV,BHM,RKS,PRC,CIU,APN,BPT,BFL,ROC,EWR,ORH,LAX,PGV,CWA,MEM,FAI,EAU,TYR,MDW,PSM,IAG,OGG,MLU,LBF,FAT,JNU,SGF,PLN,ERI,CHO,COU,ASE,MOT,SLC,ROA,SUN,OME,SIT,BIS,ACY,ISP,OAK,AUS,CDV,PDX,FCA,GGG,PHL,BRD,JAC,SFB,HYS,ATL,LAR,PNS,BWI,LIT,SDF,LWS,ACT,GFK,RIC,SNA,BTM,SPI,IMT,MOB,LCK,HPN,OWB,TTN,MKG,MTJ,TYS,OTZ,OKC,ADK,CHS,CNY,FSD,CAK,EKO,ESC,ELM,KOA,RDD,HNL,BET,SWO,GRR,ANC,PIH,AVL,SCK,LBL,DVL,SGU,HVN,MSN,ITH,ORF,DCA,CMI,SLN,BOS,BKG,LGA,BRO,ACV,SBY,MCO,MSP,AZA,PHF,DFW,DIK,MEI,RDM,JFK,JMS,MAF,FAY,GEG,DAB,STX,PSE,TOL,STC,LGB,MLI,TLH,LAW,EVV,YUM,PBG,FSM,BLV,DAY,AGS,LWB,IAD,CRP,TXK,GTF,OGS,IND,SMF,LSE,AVP,ABY,CVG,GCC,PQI,ABQ,SJU,GUC,PUB,HDN,MHK,BRW,PSP,FLG,BQK,HTS,SJC,MMH,LCH,GSO,IAH,CGI,ISN,DHN,LNY,MKE,JLN,MHT,RNO,JAX,SRQ,XNA,CLL,ALO,SMX,MRY,ABE,DTW,INL,GRI,GUM,HOB,GSP,PSC,DAL,ELP,DRO,VPS,BLI,MKK,BOI,SBN,ALW,SPN,SFO,MFR,HIB,SAN,PVU,GNV,VEL,MSO,CSG,DLH,WRG,ECP,RHI,YAK
0,Dep,1020,889,27,2516,88,487,227,59,2432,30,407,1458,197,388,400,169,1823,51,52,58,21569,14677,335,68,504,697,109,4179,342,95,172,274,275,956,6135,50,83,56,113,6843,114,1238,589,65,616,692,53,192,972,88,5554,250,513,4539,398,81,1620,61,275,4610,59,6258,832,88,248,207,81,315,115,338,14272,229,9,1684,385,691,113,329,509,1441,246,553,60,2005,86,430,83,634,32102,51,4107,13151,197,78,2231,399,373,375,362,598,285,8056,107,1133,218,167,518,1433,59,1439,174,98,13,357,1437,4922,59,20621,52,817,10,588,417,6430,620,57,495,170,112,916,60,264,811,387,95,4202,292,658,69,3457,56,85,2373,2762,888,555,1722,62,56,54,51,79,194,1575,13196,147,20093,118,291,2189,354,59,132,7050,20,62,2002,265,53,1028,300,817,74,198,740,234,261,209,9402,637,104,56,83,401,281,540,4472,5212,56,6879,275,76,12403,52,179,804,108,31308,53,913,8759,1203,2323,75,136,181,2419,3659,57,150,57,528,59,979,9,216,59,90,1620,56,2148,8,2114,53,709,749,53,52,220,1184,114,4336,65,74,1748,1342,92,726,65,53,55,310,81,1293,220,2180,11684,193,81,12220,6,13929,226,148,188,11455,12679,437,335,22585,52,89,666,10364,85,727,412,1777,278,78,59,170,15,1230,533,496,109,455,108,107,165,62,1436,394,53,7979,468,107,259,7,4211,4567,165,473,85,4123,59,51,2270,1862,30,79,33,167,58,1036,81,85,118,5477,27,167,1473,14608,54,142,112,158,2889,59,855,1779,2725,529,1158,200,55,17,362,481,14032,52,79,69,55,1431,537,5739,1586,298,601,278,90,1983,670,82,39,14526,720,52,7833,50,389,52,436,109,223,56,412,58,56
1,Arr,1021,889,27,2519,88,487,227,59,2432,30,406,1459,197,388,400,169,1819,51,53,58,21560,14673,334,68,505,697,109,4179,342,95,172,274,275,956,6137,50,83,56,113,6849,114,1238,589,65,616,691,53,192,973,87,5555,250,513,4534,398,81,1620,61,275,4610,59,6260,833,88,249,207,81,315,115,338,14278,229,9,1684,385,691,113,327,508,1440,246,553,62,2005,86,430,83,634,32099,51,4109,13152,197,78,2233,399,372,376,362,599,285,8051,107,1133,218,167,518,1434,59,1438,176,98,13,358,1438,4919,59,20619,52,818,10,587,418,6426,622,57,495,170,112,917,60,264,811,386,87,4204,293,657,69,3459,56,85,2374,2765,888,555,1723,62,56,54,51,79,194,1575,13203,147,20082,118,291,2188,353,59,132,7047,20,63,2002,265,53,1027,300,817,74,198,740,234,262,209,9406,637,104,56,83,402,281,544,4472,5210,56,6875,275,77,12395,52,179,804,108,31317,53,913,8757,1204,2323,75,136,181,2419,3667,57,150,57,528,59,979,9,219,59,90,1620,56,2149,8,2114,53,710,749,53,52,220,1184,114,4332,65,74,1748,1340,92,726,65,53,55,310,81,1294,220,2178,11685,193,81,12215,6,13932,226,149,188,11469,12670,437,335,22584,52,89,666,10355,87,727,412,1780,277,79,60,170,15,1230,533,496,109,455,108,108,165,62,1436,392,53,7986,469,107,259,7,4211,4567,165,473,85,4126,59,51,2270,1864,30,79,33,167,58,1036,81,85,118,5465,27,167,1473,14600,54,142,112,159,2890,59,855,1779,2725,529,1158,200,55,17,362,481,14032,52,79,69,55,1432,538,5746,1587,297,601,278,90,1984,668,82,39,14523,721,52,7834,50,388,52,436,109,223,56,413,58,56
