Origin,OriginCityName,Timezone,Daylight Savings,TimeDelta
AEX,"Alexandria, LA",US/Central,Yes,2
AGS,"Augusta, GA",US/Eastern,Yes,1
ALB,"Albany, NY",US/Eastern,Yes,1
ANC,"Anchorage, AK",US/Alaska,Yes,5
APN,"Alpena, MI",US/Eastern,Yes,1
ATL,"Atlanta, GA",US/Eastern,Yes,1
ATW,"Appleton, WI",US/Central,Yes,2
AUS,"Austin, TX",US/Central,Yes,2
AVL,"Asheville, NC",US/Eastern,Yes,1
AZO,"Kalamazoo, MI",US/Eastern,Yes,1
BDL,"Hartford, CT",US/Eastern,Yes,1
BGM,"Binghamton, NY",US/Eastern,Yes,1
BGR,"Bangor, ME",US/Eastern,Yes,1
BHM,"Birmingham, AL",US/Central,Yes,2
BIL,"Billings, MT",US/Mountain,Yes,3
BIS,"Bismarck/Mandan, ND",US/Central,Yes,2
BJI,"Bemidji, MN",US/Central,Yes,2
BMI,"Bloomington/Normal, IL",US/Central,Yes,2
BNA,"Nashville, TN",US/Central,Yes,2
BOI,"Boise, ID",US/Mountain,Yes,3
BOS,"Boston, MA",US/Eastern,Yes,1
BQK,"Brunswick, GA",US/Eastern,Yes,1
BRD,"Brainerd, MN",US/Central,Yes,2
BTM,"Butte, MT",US/Mountain,Yes,3
BTR,"Baton Rouge, LA",US/Central,Yes,2
BTV,"Burlington, VT",US/Eastern,Yes,1
BUF,"Buffalo, NY",US/Eastern,Yes,1
BUR,"Burbank, CA",US/Pacific,Yes,4
BWI,"Baltimore, MD",US/Eastern,Yes,1
BZN,"Bozeman, MT",US/Mountain,Yes,3
CAE,"Columbia, SC",US/Eastern,Yes,1
CDC,"Cedar City, UT",US/Mountain,Yes,3
CHA,"Chattanooga, TN",US/Eastern,Yes,1
CHO,"Charlottesville, VA",US/Eastern,Yes,1
CHS,"Charleston, SC",US/Eastern,Yes,1
CID,"Cedar Rapids/Iowa City, IA",US/Central,Yes,2
CIU,"Sault Ste. Marie, MI",US/Eastern,Yes,1
CLE,"Cleveland, OH",US/Eastern,Yes,1
CLT,"Charlotte, NC",US/Eastern,Yes,1
CMH,"Columbus, OH",US/Eastern,Yes,1
CNY,"Moab, UT",US/Mountain,Yes,3
COS,"Colorado Springs, CO",US/Mountain,Yes,3
CPR,"Casper, WY",US/Mountain,Yes,3
CRW,"Charleston/Dunbar, WV",US/Eastern,Yes,1
CSG,"Columbus, GA",US/Eastern,Yes,1
CVG,"Cincinnati, OH",US/Eastern,Yes,1
CWA,"Mosinee, WI",US/Central,Yes,2
DAB,"Daytona Beach, FL",US/Eastern,Yes,1
DAL,"Dallas, TX",US/Central,Yes,2
DAY,"Dayton, OH",US/Eastern,Yes,1
DCA,"Washington, DC",US/Eastern,Yes,1
DEN,"Denver, CO",US/Mountain,Yes,3
DFW,"Dallas/Fort Worth, TX",US/Central,Yes,2
DHN,"Dothan, AL",US/Central,Yes,2
DLH,"Duluth, MN",US/Central,Yes,2
DSM,"Des Moines, IA",US/Central,Yes,2
DTW,"Detroit, MI",US/Eastern,Yes,1
ECP,"Panama City, FL",US/Eastern,Yes,1
EKO,"Elko, NV",US/Pacific,Yes,4
ELM,"Elmira/Corning, NY",US/Eastern,Yes,1
ELP,"El Paso, TX",US/Mountain,Yes,3
ESC,"Escanaba, MI",US/Eastern,Yes,1
EUG,"Eugene, OR",US/Pacific,Yes,4
EVV,"Evansville, IN",US/Central,Yes,2
EWR,"Newark, NJ",US/Eastern,Yes,1
EYW,"Key West, FL",US/Eastern,Yes,1
FAI,"Fairbanks, AK",US/Alaska,Yes,5
FAR,"Fargo, ND",US/Central,Yes,2
FAT,"Fresno, CA",US/Pacific,Yes,4
FAY,"Fayetteville, NC",US/Eastern,Yes,1
FCA,"Kalispell, MT",US/Mountain,Yes,3
FLL,"Fort Lauderdale, FL",US/Eastern,Yes,1
FSD,"Sioux Falls, SD",US/Central,Yes,2
FWA,"Fort Wayne, IN",US/Eastern,Yes,1
GEG,"Spokane, WA",US/Pacific,Yes,4
GFK,"Grand Forks, ND",US/Central,Yes,2
GNV,"Gainesville, FL",US/Eastern,Yes,1
GPT,"Gulfport/Biloxi, MS",US/Central,Yes,2
GRB,"Green Bay, WI",US/Central,Yes,2
GRR,"Grand Rapids, MI",US/Eastern,Yes,1
GSO,"Greensboro/High Point, NC",US/Eastern,Yes,1
GSP,"Greer, SC",US/Eastern,Yes,1
GTF,"Great Falls, MT",US/Mountain,Yes,3
GTR,"Columbus, MS",US/Central,Yes,2
HHH,"Hilton Head, SC",US/Eastern,Yes,1
HIB,"Hibbing, MN",US/Central,Yes,2
HLN,"Helena, MT",US/Mountain,Yes,3
HNL,"Honolulu, HI",US/Hawaii,No,6
HOU,"Houston, TX",US/Central,Yes,2
HPN,"White Plains, NY",US/Eastern,Yes,1
HSV,"Huntsville, AL",US/Central,Yes,2
IAD,"Washington, DC",US/Eastern,Yes,1
IAH,"Houston, TX",US/Central,Yes,2
ICT,"Wichita, KS",US/Central,Yes,2
IDA,"Idaho Falls, ID",US/Mountain,Yes,3
ILM,"Wilmington, NC",US/Eastern,Yes,1
IMT,"Iron Mountain/Kingsfd, MI",US/Central,Yes,2
IND,"Indianapolis, IN",US/Eastern,Yes,1
INL,"International Falls, MN",US/Central,Yes,2
ITH,"Ithaca/Cortland, NY",US/Eastern,Yes,1
JAC,"Jackson, WY",US/Mountain,Yes,3
JAN,"Jackson/Vicksburg, MS",US/Central,Yes,2
JAX,"Jacksonville, FL",US/Eastern,Yes,1
JFK,"New York, NY",US/Eastern,Yes,1
JNU,"Juneau, AK",US/Alaska,Yes,5
KOA,"Kona, HI",US/Hawaii,No,6
KTN,"Ketchikan, AK",US/Alaska,Yes,5
LAN,"Lansing, MI",US/Eastern,Yes,1
LAS,"Las Vegas, NV",US/Pacific,Yes,4
LAX,"Los Angeles, CA",US/Pacific,Yes,4
LEX,"Lexington, KY",US/Eastern,Yes,1
LFT,"Lafayette, LA",US/Central,Yes,2
LGA,"New York, NY",US/Eastern,Yes,1
LGB,"Long Beach, CA",US/Pacific,Yes,4
LIH,"Lihue, HI",US/Hawaii,No,6
LIT,"Little Rock, AR",US/Central,Yes,2
LSE,"La Crosse, WI",US/Central,Yes,2
LWS,"Lewiston, ID",US/Pacific,Yes,4
MAF,"Midland/Odessa, TX",US/Central,Yes,2
MBS,"Saginaw/Bay City/Midland, MI",US/Eastern,Yes,1
MCI,"Kansas City, MO",US/Central,Yes,2
MCO,"Orlando, FL",US/Eastern,Yes,1
MDT,"Harrisburg, PA",US/Eastern,Yes,1
MDW,"Chicago, IL",US/Central,Yes,2
MEM,"Memphis, TN",US/Central,Yes,2
MFR,"Medford, OR",US/Pacific,Yes,4
MGM,"Montgomery, AL",US/Central,Yes,2
MIA,"Miami, FL",US/Eastern,Yes,1
MKE,"Milwaukee, WI",US/Central,Yes,2
MLB,"Melbourne, FL",US/Eastern,Yes,1
MLI,"Moline, IL",US/Central,Yes,2
MLU,"Monroe, LA",US/Central,Yes,2
MOB,"Mobile, AL",US/Central,Yes,2
MOT,"Minot, ND",US/Central,Yes,2
MQT,"Marquette, MI",US/Eastern,Yes,1
MSN,"Madison, WI",US/Central,Yes,2
MSO,"Missoula, MT",US/Mountain,Yes,3
MSP,"Minneapolis, MN",US/Central,Yes,2
MSY,"New Orleans, LA",US/Central,Yes,2
MVY,"Martha's Vineyard, MA",US/Eastern,Yes,1
MYR,"Myrtle Beach, SC",US/Eastern,Yes,1
OAJ,"Jacksonville/Camp Lejeune, NC",US/Eastern,Yes,1
OAK,"Oakland, CA",US/Pacific,Yes,4
OGG,"Kahului, HI",US/Hawaii,No,6
OKC,"Oklahoma City, OK",US/Central,Yes,2
OMA,"Omaha, NE",US/Central,Yes,2
ONT,"Ontario, CA",US/Pacific,Yes,4
ORD,"Chicago, IL",US/Central,Yes,2
ORF,"Norfolk, VA",US/Eastern,Yes,1
ORH,"Worcester, MA",US/Eastern,Yes,1
PBI,"West Palm Beach/Palm Beach, FL",US/Eastern,Yes,1
PDX,"Portland, OR",US/Pacific,Yes,4
PHL,"Philadelphia, PA",US/Eastern,Yes,1
PHX,"Phoenix, AZ",US/Arizona,No,3
PIH,"Pocatello, ID",US/Mountain,Yes,3
PIT,"Pittsburgh, PA",US/Eastern,Yes,1
PLN,"Pellston, MI",US/Eastern,Yes,1
PNS,"Pensacola, FL",US/Eastern,Yes,1
PSC,"Pasco/Kennewick/Richland, WA",US/Pacific,Yes,4
PSP,"Palm Springs, CA",US/Pacific,Yes,4
PVD,"Providence, RI",US/Eastern,Yes,1
PWM,"Portland, ME",US/Eastern,Yes,1
RAP,"Rapid City, SD",US/Mountain,Yes,3
RDM,"Bend/Redmond, OR",US/Pacific,Yes,4
RDU,"Raleigh/Durham, NC",US/Eastern,Yes,1
RHI,"Rhinelander, WI",US/Central,Yes,2
RIC,"Richmond, VA",US/Eastern,Yes,1
RNO,"Reno, NV",US/Pacific,Yes,4
ROA,"Roanoke, VA",US/Eastern,Yes,1
ROC,"Rochester, NY",US/Eastern,Yes,1
RST,"Rochester, MN",US/Central,Yes,2
RSW,"Fort Myers, FL",US/Eastern,Yes,1
SAN,"San Diego, CA",US/Pacific,Yes,4
SAT,"San Antonio, TX",US/Central,Yes,2
SAV,"Savannah, GA",US/Eastern,Yes,1
SBN,"South Bend, IN",US/Eastern,Yes,1
SCE,"State College, PA",US/Eastern,Yes,1
SDF,"Louisville, KY",US/Eastern,Yes,1
SEA,"Seattle, WA",US/Pacific,Yes,4
SFO,"San Francisco, CA",US/Pacific,Yes,4
SGF,"Springfield, MO",US/Central,Yes,2
SGU,"St. George, UT",US/Mountain,Yes,3
SHV,"Shreveport, LA",US/Central,Yes,2
