State,Initial Flight,Initial Flight Arrival Delay,Connection Layover,Connecting Flight,Connecting Flight Arrival Delay
Chicago,443089,780199,361393,605863,1724528
Indianapolis,201321,345409,165883,306398,750505
Houston,202529,342134,155822,293114,728166
Los Angeles,284601,493536,229927,381394,1179637
Pheonix,310716,542341,254916,471275,1162463
Kansas City,71459,133656,69752,112682,331809
